"name","id","nametype","recclass","mass..g.","fall","year","reclat","reclong","GeoLocation","mass","log_mass"
"Aachen",1,"Valid","L5",21,"Fell",1880,50.775,6.08333,"(50.775, 6.08333)",21,1.32221929473392
"Aarhus",2,"Valid","H6",720,"Fell",1951,56.18333,10.23333,"(56.18333, 10.23333)",720,2.85733249643127
"Achiras",370,"Valid","L6",780,"Fell",1902,-33.16667,-64.95,"(-33.16667, -64.95)",780,2.89209460269048
"Agen",392,"Valid","H5",30000,"Fell",1814,44.21667,0.61667,"(44.21667, 0.61667)",30000,4.47712125471966
"Aguada",398,"Valid","L6",1620,"Fell",1930,-31.6,-65.23333,"(-31.6, -65.23333)",1620,3.20951501454263
"Aïr",424,"Valid","L6",24000,"Fell",1925,19.08333,8.38333,"(19.08333, 8.38333)",24000,4.38021124171161
"Akaba",426,"Valid","L6",779,"Fell",1949,29.51667,35.05,"(29.51667, 35.05)",779,2.89153745767256
"Akbarpur",427,"Valid","H4",1800,"Fell",1838,29.71667,77.95,"(29.71667, 77.95)",1800,3.25527250510331
"Aleppo",462,"Valid","L6",3200,"Fell",1873,36.23333,37.13333,"(36.23333, 37.13333)",3200,3.50514997831991
"Alessandria",463,"Valid","H5",908,"Fell",1860,44.88333,8.75,"(44.88333, 8.75)",908,2.95808584852109
"Alexandrovsky",465,"Valid","H4",9251,"Fell",1900,50.95,31.81667,"(50.95, 31.81667)",9251,3.96618868095614
"Alfianello",466,"Valid","L6",228000,"Fell",1883,45.26667,10.15,"(45.26667, 10.15)",228000,5.35793484700045
"Allegan",2276,"Valid","H5",32000,"Fell",1899,42.53333,-85.88333,"(42.53333, -85.88333)",32000,4.50514997831991
"Ambapur Nagla",2290,"Valid","H5",6400,"Fell",1895,27.66667,78.25,"(27.66667, 78.25)",6400,3.80617997398389
"Andover",2295,"Valid","L6",3200,"Fell",1898,44.61667,-70.75,"(44.61667, -70.75)",3200,3.50514997831991
"Andura",2298,"Valid","H6",17900,"Fell",1939,20.88333,76.86667,"(20.88333, 76.86667)",17900,4.25285303097989
"Ankober",2304,"Valid","H4",6500,"Fell",1942,9.53333,39.71667,"(9.53333, 39.71667)",6500,3.81291335664286
